"key_ID","year","directorate_general_ID","directorate_general","directorate_general_code","case_type_ID","case_type","count_cases"
1,2002,1,"Agriculture and Rural Development","AGRI",1,"noncommunication",0
2,2002,1,"Agriculture and Rural Development","AGRI",2,"nonconformity",1
3,2002,2,"Budget","BUDG",1,"noncommunication",0
4,2002,2,"Budget","BUDG",2,"nonconformity",7
5,2002,3,"Climate Action","CLIMA",1,"noncommunication",0
6,2002,3,"Climate Action","CLIMA",2,"nonconformity",0
7,2002,4,"Communication Networks, Content and Technology","CONNECT",1,"noncommunication",0
8,2002,4,"Communication Networks, Content and Technology","CONNECT",2,"nonconformity",20
9,2002,5,"Competition","COMP",1,"noncommunication",0
10,2002,5,"Competition","COMP",2,"nonconformity",0
11,2002,6,"Defence Industry and Space","DEFIS",1,"noncommunication",0
12,2002,6,"Defence Industry and Space","DEFIS",2,"nonconformity",0
13,2002,7,"Economic and Financial Affairs","ECFIN",1,"noncommunication",0
14,2002,7,"Economic and Financial Affairs","ECFIN",2,"nonconformity",0
15,2002,8,"Education, Youth, Sport and Culture","EAC",1,"noncommunication",0
16,2002,8,"Education, Youth, Sport and Culture","EAC",2,"nonconformity",2
17,2002,9,"Employment, Social Affairs and Inclusion","EMPL",1,"noncommunication",28
18,2002,9,"Employment, Social Affairs and Inclusion","EMPL",2,"nonconformity",22
19,2002,10,"Energy","ENER",1,"noncommunication",6
20,2002,10,"Energy","ENER",2,"nonconformity",6
21,2002,11,"Enterprise and Industry","ENTR",1,"noncommunication",172
22,2002,11,"Enterprise and Industry","ENTR",2,"nonconformity",32
23,2002,12,"Environment","ENV",1,"noncommunication",64
24,2002,12,"Environment","ENV",2,"nonconformity",126
25,2002,13,"European Neighbourhood and Enlargement Negotiations","NEAR",1,"noncommunication",0
26,2002,13,"European Neighbourhood and Enlargement Negotiations","NEAR",2,"nonconformity",0
27,2002,14,"Eurostat","EUROSTAT",1,"noncommunication",6
28,2002,14,"Eurostat","EUROSTAT",2,"nonconformity",1
29,2002,15,"External Relations","RELEX",1,"noncommunication",0
30,2002,15,"External Relations","RELEX",2,"nonconformity",0
31,2002,16,"Financial Stability, Financial Services and Capital Markets Union","FISMA",1,"noncommunication",0
32,2002,16,"Financial Stability, Financial Services and Capital Markets Union","FISMA",2,"nonconformity",0
33,2002,17,"Health and Consumers","SANCO",1,"noncommunication",207
34,2002,17,"Health and Consumers","SANCO",2,"nonconformity",8
35,2002,18,"Health and Food Safety","SANTE",1,"noncommunication",0
36,2002,18,"Health and Food Safety","SANTE",2,"nonconformity",0
37,2002,19,"Human Resources and Security","HR",1,"noncommunication",0
38,2002,19,"Human Resources and Security","HR",2,"nonconformity",0
39,2002,20,"Internal Market and Services","MARKT",1,"noncommunication",50
40,2002,20,"Internal Market and Services","MARKT",2,"nonconformity",99
41,2002,21,"Internal Market, Industry, Entrepreneurship and SMEs","GROW",1,"noncommunication",0
42,2002,21,"Internal Market, Industry, Entrepreneurship and SMEs","GROW",2,"nonconformity",1
43,2002,22,"Justice and Consumers","JUST",1,"noncommunication",0
44,2002,22,"Justice and Consumers","JUST",2,"nonconformity",1
45,2002,23,"Legal Service","SJ",1,"noncommunication",0
46,2002,23,"Legal Service","SJ",2,"nonconformity",2
47,2002,24,"Maritime Affairs and Fisheries","MARE",1,"noncommunication",0
48,2002,24,"Maritime Affairs and Fisheries","MARE",2,"nonconformity",15
49,2002,25,"Migration and Home Affairs","HOME",1,"noncommunication",0
50,2002,25,"Migration and Home Affairs","HOME",2,"nonconformity",1
51,2002,26,"Mobility and Transport","MOVE",1,"noncommunication",53
52,2002,26,"Mobility and Transport","MOVE",2,"nonconformity",8
53,2002,27,"Regional and Urban Policy","REGIO",1,"noncommunication",0
54,2002,27,"Regional and Urban Policy","REGIO",2,"nonconformity",0
55,2002,28,"Secretariat-General","SG",1,"noncommunication",0
56,2002,28,"Secretariat-General","SG",2,"nonconformity",0
57,2002,29,"Taxation and Customs Union","TAXUD",1,"noncommunication",27
58,2002,29,"Taxation and Customs Union","TAXUD",2,"nonconformity",34
59,2002,30,"Trade","TRADE",1,"noncommunication",0
60,2002,30,"Trade","TRADE",2,"nonconformity",0
61,2003,1,"Agriculture and Rural Development","AGRI",1,"noncommunication",40
62,2003,1,"Agriculture and Rural Development","AGRI",2,"nonconformity",8
63,2003,2,"Budget","BUDG",1,"noncommunication",0
64,2003,2,"Budget","BUDG",2,"nonconformity",15
65,2003,3,"Climate Action","CLIMA",1,"noncommunication",0
66,2003,3,"Climate Action","CLIMA",2,"nonconformity",0
67,2003,4,"Communication Networks, Content and Technology","CONNECT",1,"noncommunication",41
68,2003,4,"Communication Networks, Content and Technology","CONNECT",2,"nonconformity",2
69,2003,5,"Competition","COMP",1,"noncommunication",9
70,2003,5,"Competition","COMP",2,"nonconformity",4
71,2003,6,"Defence Industry and Space","DEFIS",1,"noncommunication",0
72,2003,6,"Defence Industry and Space","DEFIS",2,"nonconformity",0
73,2003,7,"Economic and Financial Affairs","ECFIN",1,"noncommunication",0
74,2003,7,"Economic and Financial Affairs","ECFIN",2,"nonconformity",0
75,2003,8,"Education, Youth, Sport and Culture","EAC",1,"noncommunication",0
76,2003,8,"Education, Youth, Sport and Culture","EAC",2,"nonconformity",3
77,2003,9,"Employment, Social Affairs and Inclusion","EMPL",1,"noncommunication",43
78,2003,9,"Employment, Social Affairs and Inclusion","EMPL",2,"nonconformity",15
79,2003,10,"Energy","ENER",1,"noncommunication",29
80,2003,10,"Energy","ENER",2,"nonconformity",6
81,2003,11,"Enterprise and Industry","ENTR",1,"noncommunication",176
82,2003,11,"Enterprise and Industry","ENTR",2,"nonconformity",32
83,2003,12,"Environment","ENV",1,"noncommunication",73
84,2003,12,"Environment","ENV",2,"nonconformity",103
85,2003,13,"European Neighbourhood and Enlargement Negotiations","NEAR",1,"noncommunication",0
86,2003,13,"European Neighbourhood and Enlargement Negotiations","NEAR",2,"nonconformity",1
87,2003,14,"Eurostat","EUROSTAT",1,"noncommunication",0
88,2003,14,"Eurostat","EUROSTAT",2,"nonconformity",0
89,2003,15,"External Relations","RELEX",1,"noncommunication",0
90,2003,15,"External Relations","RELEX",2,"nonconformity",1
91,2003,16,"Financial Stability, Financial Services and Capital Markets Union","FISMA",1,"noncommunication",0
92,2003,16,"Financial Stability, Financial Services and Capital Markets Union","FISMA",2,"nonconformity",0
93,2003,17,"Health and Consumers","SANCO",1,"noncommunication",440
94,2003,17,"Health and Consumers","SANCO",2,"nonconformity",4
95,2003,18,"Health and Food Safety","SANTE",1,"noncommunication",0
96,2003,18,"Health and Food Safety","SANTE",2,"nonconformity",1
97,2003,19,"Human Resources and Security","HR",1,"noncommunication",0
98,2003,19,"Human Resources and Security","HR",2,"nonconformity",1
99,2003,20,"Internal Market and Services","MARKT",1,"noncommunication",103
100,2003,20,"Internal Market and Services","MARKT",2,"nonconformity",101
101,2003,21,"Internal Market, Industry, Entrepreneurship and SMEs","GROW",1,"noncommunication",0
102,2003,21,"Internal Market, Industry, Entrepreneurship and SMEs","GROW",2,"nonconformity",0
103,2003,22,"Justice and Consumers","JUST",1,"noncommunication",3
104,2003,22,"Justice and Consumers","JUST",2,"nonconformity",7
105,2003,23,"Legal Service","SJ",1,"noncommunication",0
106,2003,23,"Legal Service","SJ",2,"nonconformity",1
107,2003,24,"Maritime Affairs and Fisheries","MARE",1,"noncommunication",0
108,2003,24,"Maritime Affairs and Fisheries","MARE",2,"nonconformity",3
109,2003,25,"Migration and Home Affairs","HOME",1,"noncommunication",11
110,2003,25,"Migration and Home Affairs","HOME",2,"nonconformity",0
111,2003,26,"Mobility and Transport","MOVE",1,"noncommunication",145
112,2003,26,"Mobility and Transport","MOVE",2,"nonconformity",7
113,2003,27,"Regional and Urban Policy","REGIO",1,"noncommunication",0
114,2003,27,"Regional and Urban Policy","REGIO",2,"nonconformity",0
115,2003,28,"Secretariat-General","SG",1,"noncommunication",0
116,2003,28,"Secretariat-General","SG",2,"nonconformity",0
117,2003,29,"Taxation and Customs Union","TAXUD",1,"noncommunication",20
118,2003,29,"Taxation and Customs Union","TAXUD",2,"nonconformity",31
119,2003,30,"Trade","TRADE",1,"noncommunication",0
120,2003,30,"Trade","TRADE",2,"nonconformity",0
121,2004,1,"Agriculture and Rural Development","AGRI",1,"noncommunication",8
122,2004,1,"Agriculture and Rural Development","AGRI",2,"nonconformity",0
123,2004,2,"Budget","BUDG",1,"noncommunication",0
124,2004,2,"Budget","BUDG",2,"nonconformity",1
125,2004,3,"Climate Action","CLIMA",1,"noncommunication",0
126,2004,3,"Climate Action","CLIMA",2,"nonconformity",0
127,2004,4,"Communication Networks, Content and Technology","CONNECT",1,"noncommunication",11
128,2004,4,"Communication Networks, Content and Technology","CONNECT",2,"nonconformity",14
129,2004,5,"Competition","COMP",1,"noncommunication",17
130,2004,5,"Competition","COMP",2,"nonconformity",5
131,2004,6,"Defence Industry and Space","DEFIS",1,"noncommunication",0
132,2004,6,"Defence Industry and Space","DEFIS",2,"nonconformity",0
133,2004,7,"Economic and Financial Affairs","ECFIN",1,"noncommunication",0
134,2004,7,"Economic and Financial Affairs","ECFIN",2,"nonconformity",0
135,2004,8,"Education, Youth, Sport and Culture","EAC",1,"noncommunication",0
136,2004,8,"Education, Youth, Sport and Culture","EAC",2,"nonconformity",2
137,2004,9,"Employment, Social Affairs and Inclusion","EMPL",1,"noncommunication",66
138,2004,9,"Employment, Social Affairs and Inclusion","EMPL",2,"nonconformity",38
139,2004,10,"Energy","ENER",1,"noncommunication",49
140,2004,10,"Energy","ENER",2,"nonconformity",15
141,2004,11,"Enterprise and Industry","ENTR",1,"noncommunication",255
142,2004,11,"Enterprise and Industry","ENTR",2,"nonconformity",21
143,2004,12,"Environment","ENV",1,"noncommunication",143
144,2004,12,"Environment","ENV",2,"nonconformity",82
145,2004,13,"European Neighbourhood and Enlargement Negotiations","NEAR",1,"noncommunication",0
146,2004,13,"European Neighbourhood and Enlargement Negotiations","NEAR",2,"nonconformity",0
147,2004,14,"Eurostat","EUROSTAT",1,"noncommunication",17
148,2004,14,"Eurostat","EUROSTAT",2,"nonconformity",3
149,2004,15,"External Relations","RELEX",1,"noncommunication",2
150,2004,15,"External Relations","RELEX",2,"nonconformity",3
151,2004,16,"Financial Stability, Financial Services and Capital Markets Union","FISMA",1,"noncommunication",0
152,2004,16,"Financial Stability, Financial Services and Capital Markets Union","FISMA",2,"nonconformity",3
153,2004,17,"Health and Consumers","SANCO",1,"noncommunication",458
154,2004,17,"Health and Consumers","SANCO",2,"nonconformity",11
155,2004,18,"Health and Food Safety","SANTE",1,"noncommunication",0
156,2004,18,"Health and Food Safety","SANTE",2,"nonconformity",1
157,2004,19,"Human Resources and Security","HR",1,"noncommunication",0
158,2004,19,"Human Resources and Security","HR",2,"nonconformity",1
159,2004,20,"Internal Market and Services","MARKT",1,"noncommunication",296
160,2004,20,"Internal Market and Services","MARKT",2,"nonconformity",79
161,2004,21,"Internal Market, Industry, Entrepreneurship and SMEs","GROW",1,"noncommunication",0
162,2004,21,"Internal Market, Industry, Entrepreneurship and SMEs","GROW",2,"nonconformity",2
163,2004,22,"Justice and Consumers","JUST",1,"noncommunication",9
164,2004,22,"Justice and Consumers","JUST",2,"nonconformity",9
165,2004,23,"Legal Service","SJ",1,"noncommunication",0
166,2004,23,"Legal Service","SJ",2,"nonconformity",0
167,2004,24,"Maritime Affairs and Fisheries","MARE",1,"noncommunication",8
168,2004,24,"Maritime Affairs and Fisheries","MARE",2,"nonconformity",7
169,2004,25,"Migration and Home Affairs","HOME",1,"noncommunication",6
170,2004,25,"Migration and Home Affairs","HOME",2,"nonconformity",0
171,2004,26,"Mobility and Transport","MOVE",1,"noncommunication",112
172,2004,26,"Mobility and Transport","MOVE",2,"nonconformity",38
173,2004,27,"Regional and Urban Policy","REGIO",1,"noncommunication",0
174,2004,27,"Regional and Urban Policy","REGIO",2,"nonconformity",0
175,2004,28,"Secretariat-General","SG",1,"noncommunication",0
176,2004,28,"Secretariat-General","SG",2,"nonconformity",0
177,2004,29,"Taxation and Customs Union","TAXUD",1,"noncommunication",94
178,2004,29,"Taxation and Customs Union","TAXUD",2,"nonconformity",41
179,2004,30,"Trade","TRADE",1,"noncommunication",6
180,2004,30,"Trade","TRADE",2,"nonconformity",0
181,2005,1,"Agriculture and Rural Development","AGRI",1,"noncommunication",0
182,2005,1,"Agriculture and Rural Development","AGRI",2,"nonconformity",1
183,2005,2,"Budget","BUDG",1,"noncommunication",0
184,2005,2,"Budget","BUDG",2,"nonconformity",7
185,2005,3,"Climate Action","CLIMA",1,"noncommunication",0
186,2005,3,"Climate Action","CLIMA",2,"nonconformity",0
187,2005,4,"Communication Networks, Content and Technology","CONNECT",1,"noncommunication",16
188,2005,4,"Communication Networks, Content and Technology","CONNECT",2,"nonconformity",54
189,2005,5,"Competition","COMP",1,"noncommunication",1
190,2005,5,"Competition","COMP",2,"nonconformity",4
191,2005,6,"Defence Industry and Space","DEFIS",1,"noncommunication",0
192,2005,6,"Defence Industry and Space","DEFIS",2,"nonconformity",0
193,2005,7,"Economic and Financial Affairs","ECFIN",1,"noncommunication",0
194,2005,7,"Economic and Financial Affairs","ECFIN",2,"nonconformity",0
195,2005,8,"Education, Youth, Sport and Culture","EAC",1,"noncommunication",0
196,2005,8,"Education, Youth, Sport and Culture","EAC",2,"nonconformity",0
197,2005,9,"Employment, Social Affairs and Inclusion","EMPL",1,"noncommunication",34
198,2005,9,"Employment, Social Affairs and Inclusion","EMPL",2,"nonconformity",16
199,2005,10,"Energy","ENER",1,"noncommunication",19
200,2005,10,"Energy","ENER",2,"nonconformity",39
201,2005,11,"Enterprise and Industry","ENTR",1,"noncommunication",214
202,2005,11,"Enterprise and Industry","ENTR",2,"nonconformity",46
203,2005,12,"Environment","ENV",1,"noncommunication",94
204,2005,12,"Environment","ENV",2,"nonconformity",76
205,2005,13,"European Neighbourhood and Enlargement Negotiations","NEAR",1,"noncommunication",0
206,2005,13,"European Neighbourhood and Enlargement Negotiations","NEAR",2,"nonconformity",0
207,2005,14,"Eurostat","EUROSTAT",1,"noncommunication",0
208,2005,14,"Eurostat","EUROSTAT",2,"nonconformity",0
209,2005,15,"External Relations","RELEX",1,"noncommunication",0
210,2005,15,"External Relations","RELEX",2,"nonconformity",0
211,2005,16,"Financial Stability, Financial Services and Capital Markets Union","FISMA",1,"noncommunication",0
212,2005,16,"Financial Stability, Financial Services and Capital Markets Union","FISMA",2,"nonconformity",0
213,2005,17,"Health and Consumers","SANCO",1,"noncommunication",380
214,2005,17,"Health and Consumers","SANCO",2,"nonconformity",14
215,2005,18,"Health and Food Safety","SANTE",1,"noncommunication",0
216,2005,18,"Health and Food Safety","SANTE",2,"nonconformity",0
217,2005,19,"Human Resources and Security","HR",1,"noncommunication",0
218,2005,19,"Human Resources and Security","HR",2,"nonconformity",0
219,2005,20,"Internal Market and Services","MARKT",1,"noncommunication",88
220,2005,20,"Internal Market and Services","MARKT",2,"nonconformity",88
221,2005,21,"Internal Market, Industry, Entrepreneurship and SMEs","GROW",1,"noncommunication",0
222,2005,21,"Internal Market, Industry, Entrepreneurship and SMEs","GROW",2,"nonconformity",1
223,2005,22,"Justice and Consumers","JUST",1,"noncommunication",12
224,2005,22,"Justice and Consumers","JUST",2,"nonconformity",19
225,2005,23,"Legal Service","SJ",1,"noncommunication",0
226,2005,23,"Legal Service","SJ",2,"nonconformity",1
227,2005,24,"Maritime Affairs and Fisheries","MARE",1,"noncommunication",0
228,2005,24,"Maritime Affairs and Fisheries","MARE",2,"nonconformity",4
229,2005,25,"Migration and Home Affairs","HOME",1,"noncommunication",70
230,2005,25,"Migration and Home Affairs","HOME",2,"nonconformity",3
231,2005,26,"Mobility and Transport","MOVE",1,"noncommunication",93
232,2005,26,"Mobility and Transport","MOVE",2,"nonconformity",75
233,2005,27,"Regional and Urban Policy","REGIO",1,"noncommunication",0
234,2005,27,"Regional and Urban Policy","REGIO",2,"nonconformity",0
235,2005,28,"Secretariat-General","SG",1,"noncommunication",0
236,2005,28,"Secretariat-General","SG",2,"nonconformity",0
237,2005,29,"Taxation and Customs Union","TAXUD",1,"noncommunication",48
238,2005,29,"Taxation and Customs Union","TAXUD",2,"nonconformity",80
239,2005,30,"Trade","TRADE",1,"noncommunication",0
240,2005,30,"Trade","TRADE",2,"nonconformity",0
241,2006,1,"Agriculture and Rural Development","AGRI",1,"noncommunication",0
242,2006,1,"Agriculture and Rural Development","AGRI",2,"nonconformity",2
243,2006,2,"Budget","BUDG",1,"noncommunication",0
244,2006,2,"Budget","BUDG",2,"nonconformity",4
245,2006,3,"Climate Action","CLIMA",1,"noncommunication",0
246,2006,3,"Climate Action","CLIMA",2,"nonconformity",2
247,2006,4,"Communication Networks, Content and Technology","CONNECT",1,"noncommunication",0
248,2006,4,"Communication Networks, Content and Technology","CONNECT",2,"nonconformity",25
249,2006,5,"Competition","COMP",1,"noncommunication",0
250,2006,5,"Competition","COMP",2,"nonconformity",7
251,2006,6,"Defence Industry and Space","DEFIS",1,"noncommunication",0
252,2006,6,"Defence Industry and Space","DEFIS",2,"nonconformity",0
253,2006,7,"Economic and Financial Affairs","ECFIN",1,"noncommunication",0
254,2006,7,"Economic and Financial Affairs","ECFIN",2,"nonconformity",0
255,2006,8,"Education, Youth, Sport and Culture","EAC",1,"noncommunication",0
256,2006,8,"Education, Youth, Sport and Culture","EAC",2,"nonconformity",2
257,2006,9,"Employment, Social Affairs and Inclusion","EMPL",1,"noncommunication",37
258,2006,9,"Employment, Social Affairs and Inclusion","EMPL",2,"nonconformity",12
259,2006,10,"Energy","ENER",1,"noncommunication",54
260,2006,10,"Energy","ENER",2,"nonconformity",64
261,2006,11,"Enterprise and Industry","ENTR",1,"noncommunication",185
262,2006,11,"Enterprise and Industry","ENTR",2,"nonconformity",29
263,2006,12,"Environment","ENV",1,"noncommunication",21
264,2006,12,"Environment","ENV",2,"nonconformity",178
265,2006,13,"European Neighbourhood and Enlargement Negotiations","NEAR",1,"noncommunication",0
266,2006,13,"European Neighbourhood and Enlargement Negotiations","NEAR",2,"nonconformity",0
267,2006,14,"Eurostat","EUROSTAT",1,"noncommunication",0
268,2006,14,"Eurostat","EUROSTAT",2,"nonconformity",0
269,2006,15,"External Relations","RELEX",1,"noncommunication",0
270,2006,15,"External Relations","RELEX",2,"nonconformity",0
271,2006,16,"Financial Stability, Financial Services and Capital Markets Union","FISMA",1,"noncommunication",0
272,2006,16,"Financial Stability, Financial Services and Capital Markets Union","FISMA",2,"nonconformity",1
273,2006,17,"Health and Consumers","SANCO",1,"noncommunication",206
274,2006,17,"Health and Consumers","SANCO",2,"nonconformity",18
275,2006,18,"Health and Food Safety","SANTE",1,"noncommunication",0
276,2006,18,"Health and Food Safety","SANTE",2,"nonconformity",0
277,2006,19,"Human Resources and Security","HR",1,"noncommunication",0
278,2006,19,"Human Resources and Security","HR",2,"nonconformity",0
279,2006,20,"Internal Market and Services","MARKT",1,"noncommunication",116
280,2006,20,"Internal Market and Services","MARKT",2,"nonconformity",100
281,2006,21,"Internal Market, Industry, Entrepreneurship and SMEs","GROW",1,"noncommunication",0
282,2006,21,"Internal Market, Industry, Entrepreneurship and SMEs","GROW",2,"nonconformity",5
283,2006,22,"Justice and Consumers","JUST",1,"noncommunication",18
284,2006,22,"Justice and Consumers","JUST",2,"nonconformity",64
285,2006,23,"Legal Service","SJ",1,"noncommunication",0
286,2006,23,"Legal Service","SJ",2,"nonconformity",0
287,2006,24,"Maritime Affairs and Fisheries","MARE",1,"noncommunication",0
288,2006,24,"Maritime Affairs and Fisheries","MARE",2,"nonconformity",0
289,2006,25,"Migration and Home Affairs","HOME",1,"noncommunication",87
290,2006,25,"Migration and Home Affairs","HOME",2,"nonconformity",13
291,2006,26,"Mobility and Transport","MOVE",1,"noncommunication",151
292,2006,26,"Mobility and Transport","MOVE",2,"nonconformity",29
293,2006,27,"Regional and Urban Policy","REGIO",1,"noncommunication",0
294,2006,27,"Regional and Urban Policy","REGIO",2,"nonconformity",0
295,2006,28,"Secretariat-General","SG",1,"noncommunication",0
296,2006,28,"Secretariat-General","SG",2,"nonconformity",0
297,2006,29,"Taxation and Customs Union","TAXUD",1,"noncommunication",27
298,2006,29,"Taxation and Customs Union","TAXUD",2,"nonconformity",89
299,2006,30,"Trade","TRADE",1,"noncommunication",2
300,2006,30,"Trade","TRADE",2,"nonconformity",0
301,2007,1,"Agriculture and Rural Development","AGRI",1,"noncommunication",0
302,2007,1,"Agriculture and Rural Development","AGRI",2,"nonconformity",2
303,2007,2,"Budget","BUDG",1,"noncommunication",0
304,2007,2,"Budget","BUDG",2,"nonconformity",4
305,2007,3,"Climate Action","CLIMA",1,"noncommunication",0
306,2007,3,"Climate Action","CLIMA",2,"nonconformity",0
307,2007,4,"Communication Networks, Content and Technology","CONNECT",1,"noncommunication",10
308,2007,4,"Communication Networks, Content and Technology","CONNECT",2,"nonconformity",11
309,2007,5,"Competition","COMP",1,"noncommunication",5
310,2007,5,"Competition","COMP",2,"nonconformity",5
311,2007,6,"Defence Industry and Space","DEFIS",1,"noncommunication",0
312,2007,6,"Defence Industry and Space","DEFIS",2,"nonconformity",0
313,2007,7,"Economic and Financial Affairs","ECFIN",1,"noncommunication",0
314,2007,7,"Economic and Financial Affairs","ECFIN",2,"nonconformity",0
315,2007,8,"Education, Youth, Sport and Culture","EAC",1,"noncommunication",0
316,2007,8,"Education, Youth, Sport and Culture","EAC",2,"nonconformity",2
317,2007,9,"Employment, Social Affairs and Inclusion","EMPL",1,"noncommunication",24
318,2007,9,"Employment, Social Affairs and Inclusion","EMPL",2,"nonconformity",23
319,2007,10,"Energy","ENER",1,"noncommunication",25
320,2007,10,"Energy","ENER",2,"nonconformity",18
321,2007,11,"Enterprise and Industry","ENTR",1,"noncommunication",224
322,2007,11,"Enterprise and Industry","ENTR",2,"nonconformity",29
323,2007,12,"Environment","ENV",1,"noncommunication",126
324,2007,12,"Environment","ENV",2,"nonconformity",189
325,2007,13,"European Neighbourhood and Enlargement Negotiations","NEAR",1,"noncommunication",0
326,2007,13,"European Neighbourhood and Enlargement Negotiations","NEAR",2,"nonconformity",0
327,2007,14,"Eurostat","EUROSTAT",1,"noncommunication",4
328,2007,14,"Eurostat","EUROSTAT",2,"nonconformity",0
329,2007,15,"External Relations","RELEX",1,"noncommunication",0
330,2007,15,"External Relations","RELEX",2,"nonconformity",0
331,2007,16,"Financial Stability, Financial Services and Capital Markets Union","FISMA",1,"noncommunication",0
332,2007,16,"Financial Stability, Financial Services and Capital Markets Union","FISMA",2,"nonconformity",0
333,2007,17,"Health and Consumers","SANCO",1,"noncommunication",333
334,2007,17,"Health and Consumers","SANCO",2,"nonconformity",34
335,2007,18,"Health and Food Safety","SANTE",1,"noncommunication",0
336,2007,18,"Health and Food Safety","SANTE",2,"nonconformity",1
337,2007,19,"Human Resources and Security","HR",1,"noncommunication",0
338,2007,19,"Human Resources and Security","HR",2,"nonconformity",1
339,2007,20,"Internal Market and Services","MARKT",1,"noncommunication",206
340,2007,20,"Internal Market and Services","MARKT",2,"nonconformity",88
341,2007,21,"Internal Market, Industry, Entrepreneurship and SMEs","GROW",1,"noncommunication",0
342,2007,21,"Internal Market, Industry, Entrepreneurship and SMEs","GROW",2,"nonconformity",3
343,2007,22,"Justice and Consumers","JUST",1,"noncommunication",27
344,2007,22,"Justice and Consumers","JUST",2,"nonconformity",36
345,2007,23,"Legal Service","SJ",1,"noncommunication",0
346,2007,23,"Legal Service","SJ",2,"nonconformity",2
347,2007,24,"Maritime Affairs and Fisheries","MARE",1,"noncommunication",0
348,2007,24,"Maritime Affairs and Fisheries","MARE",2,"nonconformity",9
349,2007,25,"Migration and Home Affairs","HOME",1,"noncommunication",63
350,2007,25,"Migration and Home Affairs","HOME",2,"nonconformity",12
351,2007,26,"Mobility and Transport","MOVE",1,"noncommunication",85
352,2007,26,"Mobility and Transport","MOVE",2,"nonconformity",41
353,2007,27,"Regional and Urban Policy","REGIO",1,"noncommunication",0
354,2007,27,"Regional and Urban Policy","REGIO",2,"nonconformity",0
355,2007,28,"Secretariat-General","SG",1,"noncommunication",0
356,2007,28,"Secretariat-General","SG",2,"nonconformity",0
357,2007,29,"Taxation and Customs Union","TAXUD",1,"noncommunication",63
358,2007,29,"Taxation and Customs Union","TAXUD",2,"nonconformity",96
359,2007,30,"Trade","TRADE",1,"noncommunication",4
360,2007,30,"Trade","TRADE",2,"nonconformity",0
361,2008,1,"Agriculture and Rural Development","AGRI",1,"noncommunication",8
362,2008,1,"Agriculture and Rural Development","AGRI",2,"nonconformity",1
363,2008,2,"Budget","BUDG",1,"noncommunication",0
364,2008,2,"Budget","BUDG",2,"nonconformity",1
365,2008,3,"Climate Action","CLIMA",1,"noncommunication",0
366,2008,3,"Climate Action","CLIMA",2,"nonconformity",2
367,2008,4,"Communication Networks, Content and Technology","CONNECT",1,"noncommunication",0
368,2008,4,"Communication Networks, Content and Technology","CONNECT",2,"nonconformity",7
369,2008,5,"Competition","COMP",1,"noncommunication",0
370,2008,5,"Competition","COMP",2,"nonconformity",4
371,2008,6,"Defence Industry and Space","DEFIS",1,"noncommunication",0
372,2008,6,"Defence Industry and Space","DEFIS",2,"nonconformity",0
373,2008,7,"Economic and Financial Affairs","ECFIN",1,"noncommunication",0
374,2008,7,"Economic and Financial Affairs","ECFIN",2,"nonconformity",0
375,2008,8,"Education, Youth, Sport and Culture","EAC",1,"noncommunication",0
376,2008,8,"Education, Youth, Sport and Culture","EAC",2,"nonconformity",1
377,2008,9,"Employment, Social Affairs and Inclusion","EMPL",1,"noncommunication",17
378,2008,9,"Employment, Social Affairs and Inclusion","EMPL",2,"nonconformity",14
379,2008,10,"Energy","ENER",1,"noncommunication",41
380,2008,10,"Energy","ENER",2,"nonconformity",30
