"key_ID","year","member_state_ID","member_state","member_state_code","count_cases"
1,2002,1,"Belgium","BE",55
2,2002,2,"France","FR",83
3,2002,3,"Germany","DE",95
4,2002,4,"Italy","IT",102
5,2002,5,"Luxembourg","LU",50
6,2002,6,"Netherlands","NL",55
7,2002,7,"Denmark","DK",39
8,2002,8,"Ireland","IE",74
9,2002,9,"United Kingdom","UK",62
10,2002,10,"Greece","EL",73
11,2002,11,"Portugal","PT",81
12,2002,12,"Spain","ES",77
13,2002,13,"Austria","AT",60
14,2002,14,"Finland","FI",44
15,2002,15,"Sweden","SE",49
16,2003,1,"Belgium","BE",97
17,2003,2,"France","FR",98
18,2003,3,"Germany","DE",115
19,2003,4,"Italy","IT",156
20,2003,5,"Luxembourg","LU",84
21,2003,6,"Netherlands","NL",89
22,2003,7,"Denmark","DK",63
23,2003,8,"Ireland","IE",79
24,2003,9,"United Kingdom","UK",92
25,2003,10,"Greece","EL",120
26,2003,11,"Portugal","PT",130
27,2003,12,"Spain","ES",89
28,2003,13,"Austria","AT",103
29,2003,14,"Finland","FI",86
30,2003,15,"Sweden","SE",78
31,2004,1,"Belgium","BE",83
32,2004,2,"France","FR",88
33,2004,3,"Germany","DE",74
34,2004,4,"Italy","IT",115
35,2004,5,"Luxembourg","LU",73
36,2004,6,"Netherlands","NL",61
37,2004,7,"Denmark","DK",57
38,2004,8,"Ireland","IE",65
39,2004,9,"United Kingdom","UK",77
40,2004,10,"Greece","EL",101
41,2004,11,"Portugal","PT",87
42,2004,12,"Spain","ES",67
43,2004,13,"Austria","AT",54
44,2004,14,"Finland","FI",81
45,2004,15,"Sweden","SE",66
46,2004,16,"Cyprus","CY",73
47,2004,17,"Czech Republic","CZ",148
48,2004,18,"Estonia","EE",77
49,2004,19,"Hungary","HU",34
50,2004,20,"Latvia","LV",109
51,2004,21,"Lithuania","LT",16
52,2004,22,"Malta","MT",108
53,2004,23,"Poland","PL",56
54,2004,24,"Slovakia","SK",107
55,2004,25,"Slovenia","SI",56
56,2005,1,"Belgium","BE",62
57,2005,2,"France","FR",75
58,2005,3,"Germany","DE",51
59,2005,4,"Italy","IT",124
60,2005,5,"Luxembourg","LU",74
61,2005,6,"Netherlands","NL",56
62,2005,7,"Denmark","DK",35
63,2005,8,"Ireland","IE",55
64,2005,9,"United Kingdom","UK",55
65,2005,10,"Greece","EL",99
66,2005,11,"Portugal","PT",77
67,2005,12,"Spain","ES",63
68,2005,13,"Austria","AT",63
69,2005,14,"Finland","FI",55
70,2005,15,"Sweden","SE",47
71,2005,16,"Cyprus","CY",86
72,2005,17,"Czech Republic","CZ",75
73,2005,18,"Estonia","EE",60
74,2005,19,"Hungary","HU",58
75,2005,20,"Latvia","LV",59
76,2005,21,"Lithuania","LT",28
77,2005,22,"Malta","MT",60
78,2005,23,"Poland","PL",70
79,2005,24,"Slovakia","SK",54
80,2005,25,"Slovenia","SI",56
81,2006,1,"Belgium","BE",60
82,2006,2,"France","FR",79
83,2006,3,"Germany","DE",57
84,2006,4,"Italy","IT",119
85,2006,5,"Luxembourg","LU",62
86,2006,6,"Netherlands","NL",41
87,2006,7,"Denmark","DK",38
88,2006,8,"Ireland","IE",49
89,2006,9,"United Kingdom","UK",67
90,2006,10,"Greece","EL",94
91,2006,11,"Portugal","PT",85
92,2006,12,"Spain","ES",70
93,2006,13,"Austria","AT",59
94,2006,14,"Finland","FI",56
95,2006,15,"Sweden","SE",55
96,2006,16,"Cyprus","CY",58
97,2006,17,"Czech Republic","CZ",69
98,2006,18,"Estonia","EE",51
99,2006,19,"Hungary","HU",53
100,2006,20,"Latvia","LV",51
101,2006,21,"Lithuania","LT",35
102,2006,22,"Malta","MT",79
103,2006,23,"Poland","PL",69
104,2006,24,"Slovakia","SK",40
105,2006,25,"Slovenia","SI",52
106,2007,1,"Belgium","BE",63
107,2007,2,"France","FR",73
108,2007,3,"Germany","DE",59
109,2007,4,"Italy","IT",106
110,2007,5,"Luxembourg","LU",53
111,2007,6,"Netherlands","NL",42
112,2007,7,"Denmark","DK",33
113,2007,8,"Ireland","IE",55
114,2007,9,"United Kingdom","UK",75
115,2007,10,"Greece","EL",90
116,2007,11,"Portugal","PT",86
117,2007,12,"Spain","ES",56
118,2007,13,"Austria","AT",56
119,2007,14,"Finland","FI",65
120,2007,15,"Sweden","SE",54
121,2007,16,"Cyprus","CY",50
122,2007,17,"Czech Republic","CZ",60
123,2007,18,"Estonia","EE",49
124,2007,19,"Hungary","HU",61
125,2007,20,"Latvia","LV",57
126,2007,21,"Lithuania","LT",37
127,2007,22,"Malta","MT",65
128,2007,23,"Poland","PL",74
129,2007,24,"Slovakia","SK",48
130,2007,25,"Slovenia","SI",57
131,2007,26,"Bulgaria","BG",85
132,2007,27,"Romania","RO",196
133,2008,1,"Belgium","BE",79
134,2008,2,"France","FR",56
135,2008,3,"Germany","DE",46
136,2008,4,"Italy","IT",76
137,2008,5,"Luxembourg","LU",44
138,2008,6,"Netherlands","NL",35
139,2008,7,"Denmark","DK",36
140,2008,8,"Ireland","IE",52
141,2008,9,"United Kingdom","UK",60
142,2008,10,"Greece","EL",66
143,2008,11,"Portugal","PT",65
144,2008,12,"Spain","ES",63
145,2008,13,"Austria","AT",47
146,2008,14,"Finland","FI",47
147,2008,15,"Sweden","SE",39
148,2008,16,"Cyprus","CY",59
149,2008,17,"Czech Republic","CZ",61
150,2008,18,"Estonia","EE",30
151,2008,19,"Hungary","HU",51
152,2008,20,"Latvia","LV",30
153,2008,21,"Lithuania","LT",25
154,2008,22,"Malta","MT",40
155,2008,23,"Poland","PL",55
156,2008,24,"Slovakia","SK",37
157,2008,25,"Slovenia","SI",33
158,2008,26,"Bulgaria","BG",45
159,2008,27,"Romania","RO",40
160,2009,1,"Belgium","BE",54
161,2009,2,"France","FR",45
162,2009,3,"Germany","DE",36
163,2009,4,"Italy","IT",62
164,2009,5,"Luxembourg","LU",40
165,2009,6,"Netherlands","NL",23
166,2009,7,"Denmark","DK",20
167,2009,8,"Ireland","IE",28
168,2009,9,"United Kingdom","UK",47
169,2009,10,"Greece","EL",67
170,2009,11,"Portugal","PT",46
171,2009,12,"Spain","ES",48
172,2009,13,"Austria","AT",40
173,2009,14,"Finland","FI",33
174,2009,15,"Sweden","SE",25
175,2009,16,"Cyprus","CY",33
176,2009,17,"Czech Republic","CZ",41
177,2009,18,"Estonia","EE",21
178,2009,19,"Hungary","HU",43
179,2009,20,"Latvia","LV",24
180,2009,21,"Lithuania","LT",21
181,2009,22,"Malta","MT",27
182,2009,23,"Poland","PL",47
183,2009,24,"Slovakia","SK",27
184,2009,25,"Slovenia","SI",22
185,2009,26,"Bulgaria","BG",31
186,2009,27,"Romania","RO",33
187,2010,1,"Belgium","BE",27
188,2010,2,"France","FR",41
189,2010,3,"Germany","DE",27
190,2010,4,"Italy","IT",68
191,2010,5,"Luxembourg","LU",42
192,2010,6,"Netherlands","NL",27
193,2010,7,"Denmark","DK",19
194,2010,8,"Ireland","IE",37
195,2010,9,"United Kingdom","UK",45
196,2010,10,"Greece","EL",72
197,2010,11,"Portugal","PT",52
198,2010,12,"Spain","ES",60
199,2010,13,"Austria","AT",35
200,2010,14,"Finland","FI",51
201,2010,15,"Sweden","SE",26
202,2010,16,"Cyprus","CY",54
203,2010,17,"Czech Republic","CZ",43
204,2010,18,"Estonia","EE",26
205,2010,19,"Hungary","HU",63
206,2010,20,"Latvia","LV",26
207,2010,21,"Lithuania","LT",17
208,2010,22,"Malta","MT",23
209,2010,23,"Poland","PL",54
210,2010,24,"Slovakia","SK",23
211,2010,25,"Slovenia","SI",36
212,2010,26,"Bulgaria","BG",35
213,2010,27,"Romania","RO",59
214,2011,1,"Belgium","BE",50
215,2011,2,"France","FR",53
216,2011,3,"Germany","DE",41
217,2011,4,"Italy","IT",103
218,2011,5,"Luxembourg","LU",54
219,2011,6,"Netherlands","NL",37
220,2011,7,"Denmark","DK",33
221,2011,8,"Ireland","IE",33
222,2011,9,"United Kingdom","UK",65
223,2011,10,"Greece","EL",76
224,2011,11,"Portugal","PT",67
225,2011,12,"Spain","ES",58
226,2011,13,"Austria","AT",52
227,2011,14,"Finland","FI",68
228,2011,15,"Sweden","SE",35
229,2011,16,"Cyprus","CY",70
230,2011,17,"Czech Republic","CZ",62
231,2011,18,"Estonia","EE",32
232,2011,19,"Hungary","HU",80
233,2011,20,"Latvia","LV",27
234,2011,21,"Lithuania","LT",40
235,2011,22,"Malta","MT",50
236,2011,23,"Poland","PL",63
237,2011,24,"Slovakia","SK",42
238,2011,25,"Slovenia","SI",53
239,2011,26,"Bulgaria","BG",42
240,2011,27,"Romania","RO",53
241,2012,1,"Belgium","BE",32
242,2012,2,"France","FR",34
243,2012,3,"Germany","DE",27
244,2012,4,"Italy","IT",55
245,2012,5,"Luxembourg","LU",19
246,2012,6,"Netherlands","NL",15
247,2012,7,"Denmark","DK",23
248,2012,8,"Ireland","IE",12
249,2012,9,"United Kingdom","UK",33
250,2012,10,"Greece","EL",36
251,2012,11,"Portugal","PT",39
252,2012,12,"Spain","ES",32
253,2012,13,"Austria","AT",34
254,2012,14,"Finland","FI",28
255,2012,15,"Sweden","SE",10
256,2012,16,"Cyprus","CY",27
257,2012,17,"Czech Republic","CZ",22
258,2012,18,"Estonia","EE",13
259,2012,19,"Hungary","HU",38
260,2012,20,"Latvia","LV",19
261,2012,21,"Lithuania","LT",13
262,2012,22,"Malta","MT",22
263,2012,23,"Poland","PL",25
264,2012,24,"Slovakia","SK",20
265,2012,25,"Slovenia","SI",27
266,2012,26,"Bulgaria","BG",26
267,2012,27,"Romania","RO",29
268,2013,1,"Belgium","BE",38
269,2013,2,"France","FR",40
270,2013,3,"Germany","DE",36
271,2013,4,"Italy","IT",55
272,2013,5,"Luxembourg","LU",28
273,2013,6,"Netherlands","NL",17
274,2013,7,"Denmark","DK",21
275,2013,8,"Ireland","IE",18
276,2013,9,"United Kingdom","UK",26
277,2013,10,"Greece","EL",41
278,2013,11,"Portugal","PT",39
279,2013,12,"Spain","ES",43
280,2013,13,"Austria","AT",35
281,2013,14,"Finland","FI",22
282,2013,15,"Sweden","SE",13
283,2013,16,"Cyprus","CY",38
284,2013,17,"Czech Republic","CZ",25
285,2013,18,"Estonia","EE",18
286,2013,19,"Hungary","HU",31
287,2013,20,"Latvia","LV",21
288,2013,21,"Lithuania","LT",23
289,2013,22,"Malta","MT",17
290,2013,23,"Poland","PL",33
291,2013,24,"Slovakia","SK",26
292,2013,25,"Slovenia","SI",30
293,2013,26,"Bulgaria","BG",23
294,2013,27,"Romania","RO",32
295,2013,28,"Croatia","HR",4
296,2014,1,"Belgium","BE",56
297,2014,2,"France","FR",34
298,2014,3,"Germany","DE",44
299,2014,4,"Italy","IT",46
300,2014,5,"Luxembourg","LU",27
301,2014,6,"Netherlands","NL",16
302,2014,7,"Denmark","DK",25
303,2014,8,"Ireland","IE",15
304,2014,9,"United Kingdom","UK",32
305,2014,10,"Greece","EL",46
306,2014,11,"Portugal","PT",32
307,2014,12,"Spain","ES",48
308,2014,13,"Austria","AT",30
309,2014,14,"Finland","FI",21
310,2014,15,"Sweden","SE",15
311,2014,16,"Cyprus","CY",39
312,2014,17,"Czech Republic","CZ",24
313,2014,18,"Estonia","EE",12
314,2014,19,"Hungary","HU",39
315,2014,20,"Latvia","LV",14
316,2014,21,"Lithuania","LT",16
317,2014,22,"Malta","MT",15
318,2014,23,"Poland","PL",26
319,2014,24,"Slovakia","SK",20
320,2014,25,"Slovenia","SI",34
321,2014,26,"Bulgaria","BG",47
322,2014,27,"Romania","RO",46
323,2014,28,"Croatia","HR",20
324,2015,1,"Belgium","BE",35
325,2015,2,"France","FR",31
326,2015,3,"Germany","DE",33
327,2015,4,"Italy","IT",26
328,2015,5,"Luxembourg","LU",25
329,2015,6,"Netherlands","NL",12
330,2015,7,"Denmark","DK",17
331,2015,8,"Ireland","IE",17
332,2015,9,"United Kingdom","UK",21
333,2015,10,"Greece","EL",38
334,2015,11,"Portugal","PT",28
335,2015,12,"Spain","ES",29
336,2015,13,"Austria","AT",21
337,2015,14,"Finland","FI",21
338,2015,15,"Sweden","SE",28
339,2015,16,"Cyprus","CY",43
340,2015,17,"Czech Republic","CZ",21
341,2015,18,"Estonia","EE",15
342,2015,19,"Hungary","HU",26
343,2015,20,"Latvia","LV",19
344,2015,21,"Lithuania","LT",21
345,2015,22,"Malta","MT",23
346,2015,23,"Poland","PL",27
347,2015,24,"Slovakia","SK",22
348,2015,25,"Slovenia","SI",32
349,2015,26,"Bulgaria","BG",25
350,2015,27,"Romania","RO",28
351,2015,28,"Croatia","HR",17
352,2016,1,"Belgium","BE",50
353,2016,2,"France","FR",39
354,2016,3,"Germany","DE",30
355,2016,4,"Italy","IT",18
356,2016,5,"Luxembourg","LU",42
357,2016,6,"Netherlands","NL",24
358,2016,7,"Denmark","DK",32
359,2016,8,"Ireland","IE",42
360,2016,9,"United Kingdom","UK",29
361,2016,10,"Greece","EL",43
362,2016,11,"Portugal","PT",61
363,2016,12,"Spain","ES",45
364,2016,13,"Austria","AT",47
365,2016,14,"Finland","FI",40
366,2016,15,"Sweden","SE",24
367,2016,16,"Cyprus","CY",45
368,2016,17,"Czech Republic","CZ",44
369,2016,18,"Estonia","EE",20
370,2016,19,"Hungary","HU",46
371,2016,20,"Latvia","LV",22
372,2016,21,"Lithuania","LT",34
373,2016,22,"Malta","MT",21
374,2016,23,"Poland","PL",43
375,2016,24,"Slovakia","SK",23
376,2016,25,"Slovenia","SI",38
377,2016,26,"Bulgaria","BG",31
378,2016,27,"Romania","RO",39
379,2016,28,"Croatia","HR",32
380,2017,1,"Belgium","BE",31
381,2017,2,"France","FR",22
382,2017,3,"Germany","DE",22
383,2017,4,"Italy","IT",17
384,2017,5,"Luxembourg","LU",24
385,2017,6,"Netherlands","NL",17
386,2017,7,"Denmark","DK",20
387,2017,8,"Ireland","IE",31
388,2017,9,"United Kingdom","UK",33
389,2017,10,"Greece","EL",32
390,2017,11,"Portugal","PT",45
391,2017,12,"Spain","ES",25
392,2017,13,"Austria","AT",30
393,2017,14,"Finland","FI",25
394,2017,15,"Sweden","SE",19
395,2017,16,"Cyprus","CY",43
396,2017,17,"Czech Republic","CZ",32
397,2017,18,"Estonia","EE",17
398,2017,19,"Hungary","HU",19
399,2017,20,"Latvia","LV",24
400,2017,21,"Lithuania","LT",11
401,2017,22,"Malta","MT",19
402,2017,23,"Poland","PL",32
403,2017,24,"Slovakia","SK",17
404,2017,25,"Slovenia","SI",28
405,2017,26,"Bulgaria","BG",33
406,2017,27,"Romania","RO",27
407,2017,28,"Croatia","HR",32
408,2018,1,"Belgium","BE",28
409,2018,2,"France","FR",31
410,2018,3,"Germany","DE",26
411,2018,4,"Italy","IT",30
412,2018,5,"Luxembourg","LU",35
413,2018,6,"Netherlands","NL",19
414,2018,7,"Denmark","DK",18
415,2018,8,"Ireland","IE",28
416,2018,9,"United Kingdom","UK",33
417,2018,10,"Greece","EL",33
418,2018,11,"Portugal","PT",25
419,2018,12,"Spain","ES",36
420,2018,13,"Austria","AT",29
421,2018,14,"Finland","FI",20
422,2018,15,"Sweden","SE",26
423,2018,16,"Cyprus","CY",43
424,2018,17,"Czech Republic","CZ",33
425,2018,18,"Estonia","EE",17
426,2018,19,"Hungary","HU",28
427,2018,20,"Latvia","LV",21
428,2018,21,"Lithuania","LT",21
429,2018,22,"Malta","MT",26
430,2018,23,"Poland","PL",35
431,2018,24,"Slovakia","SK",21
432,2018,25,"Slovenia","SI",26
433,2018,26,"Bulgaria","BG",30
434,2018,27,"Romania","RO",37
435,2018,28,"Croatia","HR",20
436,2019,1,"Belgium","BE",28
437,2019,2,"France","FR",19
438,2019,3,"Germany","DE",18
439,2019,4,"Italy","IT",19
440,2019,5,"Luxembourg","LU",16
441,2019,6,"Netherlands","NL",13
442,2019,7,"Denmark","DK",16
443,2019,8,"Ireland","IE",28
444,2019,9,"United Kingdom","UK",24
445,2019,10,"Greece","EL",29
446,2019,11,"Portugal","PT",26
447,2019,12,"Spain","ES",19
448,2019,13,"Austria","AT",22
449,2019,14,"Finland","FI",11
450,2019,15,"Sweden","SE",20
451,2019,16,"Cyprus","CY",36
452,2019,17,"Czech Republic","CZ",24
453,2019,18,"Estonia","EE",19
454,2019,19,"Hungary","HU",26
455,2019,20,"Latvia","LV",19
456,2019,21,"Lithuania","LT",10
457,2019,22,"Malta","MT",23
458,2019,23,"Poland","PL",25
459,2019,24,"Slovakia","SK",16
460,2019,25,"Slovenia","SI",22
461,2019,26,"Bulgaria","BG",32
462,2019,27,"Romania","RO",30
463,2019,28,"Croatia","HR",20
464,2020,1,"Belgium","BE",7
465,2020,2,"France","FR",5
466,2020,3,"Germany","DE",7
467,2020,4,"Italy","IT",6
468,2020,5,"Luxembourg","LU",4
469,2020,6,"Netherlands","NL",2
470,2020,7,"Denmark","DK",3
471,2020,8,"Ireland","IE",3
472,2020,9,"United Kingdom","UK",8
473,2020,10,"Greece","EL",8
474,2020,11,"Portugal","PT",10
475,2020,12,"Spain","ES",9
476,2020,13,"Austria","AT",0
477,2020,14,"Finland","FI",0
478,2020,15,"Sweden","SE",2
479,2020,16,"Cyprus","CY",10
480,2020,17,"Czech Republic","CZ",4
481,2020,18,"Estonia","EE",3
482,2020,19,"Hungary","HU",3
483,2020,20,"Latvia","LV",4
484,2020,21,"Lithuania","LT",1
485,2020,22,"Malta","MT",3
486,2020,23,"Poland","PL",11
487,2020,24,"Slovakia","SK",3
488,2020,25,"Slovenia","SI",6
489,2020,26,"Bulgaria","BG",3
490,2020,27,"Romania","RO",11
491,2020,28,"Croatia","HR",4
