"key_ID","year","member_state_ID","member_state","member_state_code","count_LFN258","count_RO258","count_RF258","count_LFN260","count_RO260","count_RF260"
1,2002,1,"Belgium","BE",58,18,4,2,1,0
2,2002,2,"France","FR",81,27,4,5,3,1
3,2002,3,"Germany","DE",91,19,7,2,0,0
4,2002,4,"Italy","IT",98,31,7,9,1,0
5,2002,5,"Luxembourg","LU",47,16,2,5,0,0
6,2002,6,"Netherlands","NL",55,5,1,2,0,0
7,2002,7,"Denmark","DK",40,3,0,0,0,0
8,2002,8,"Ireland","IE",73,19,1,2,1,0
9,2002,9,"United Kingdom","UK",52,12,3,2,1,0
10,2002,10,"Greece","EL",75,28,4,6,2,0
11,2002,11,"Portugal","PT",75,22,4,1,0,0
12,2002,12,"Spain","ES",85,22,10,1,0,0
13,2002,13,"Austria","AT",66,41,23,1,0,0
14,2002,14,"Finland","FI",54,8,1,1,0,0
15,2002,15,"Sweden","SE",51,3,1,1,0,0
16,2003,1,"Belgium","BE",104,36,10,5,3,1
17,2003,2,"France","FR",120,43,21,9,2,1
18,2003,3,"Germany","DE",116,29,9,4,0,0
19,2003,4,"Italy","IT",156,67,30,7,3,0
20,2003,5,"Luxembourg","LU",86,36,15,3,3,0
21,2003,6,"Netherlands","NL",94,33,13,2,1,0
22,2003,7,"Denmark","DK",55,2,1,0,0,0
23,2003,8,"Ireland","IE",100,34,21,3,1,1
24,2003,9,"United Kingdom","UK",111,23,10,1,0,0
25,2003,10,"Greece","EL",116,50,23,1,0,0
26,2003,11,"Portugal","PT",131,42,17,1,0,0
27,2003,12,"Spain","ES",107,24,14,3,0,0
28,2003,13,"Austria","AT",97,38,25,0,0,0
29,2003,14,"Finland","FI",84,15,6,0,0,0
30,2003,15,"Sweden","SE",73,14,5,0,0,0
31,2004,1,"Belgium","BE",79,29,22,2,0,0
32,2004,2,"France","FR",88,44,24,10,2,0
33,2004,3,"Germany","DE",95,35,21,2,2,2
34,2004,4,"Italy","IT",133,76,43,5,3,2
35,2004,5,"Luxembourg","LU",76,36,28,3,5,1
36,2004,6,"Netherlands","NL",56,27,14,0,1,0
37,2004,7,"Denmark","DK",60,12,1,2,0,0
38,2004,8,"Ireland","IE",71,21,8,4,0,0
39,2004,9,"United Kingdom","UK",69,19,10,3,0,0
40,2004,10,"Greece","EL",114,48,31,1,0,0
41,2004,11,"Portugal","PT",93,34,11,1,1,0
42,2004,12,"Spain","ES",76,16,9,5,0,0
43,2004,13,"Austria","AT",63,23,17,2,0,0
44,2004,14,"Finland","FI",83,20,15,1,0,0
45,2004,15,"Sweden","SE",75,17,8,1,0,0
46,2004,16,"Cyprus","CY",71,0,0,0,0,0
47,2004,17,"Czech Republic","CZ",145,0,0,0,0,0
48,2004,18,"Estonia","EE",75,0,0,0,0,0
49,2004,19,"Hungary","HU",32,0,0,0,0,0
50,2004,20,"Latvia","LV",108,0,0,0,0,0
51,2004,21,"Lithuania","LT",15,0,0,0,0,0
52,2004,22,"Malta","MT",107,0,0,0,0,0
53,2004,23,"Poland","PL",50,1,0,0,0,0
54,2004,24,"Slovakia","SK",107,0,0,0,0,0
55,2004,25,"Slovenia","SI",54,0,0,0,0,0
56,2005,1,"Belgium","BE",73,31,5,2,1,0
57,2005,2,"France","FR",84,44,12,10,4,0
58,2005,3,"Germany","DE",68,27,6,8,1,0
59,2005,4,"Italy","IT",143,97,30,16,2,0
60,2005,5,"Luxembourg","LU",76,51,29,8,6,2
61,2005,6,"Netherlands","NL",57,19,8,3,0,0
62,2005,7,"Denmark","DK",37,6,1,0,0,0
63,2005,8,"Ireland","IE",58,28,8,2,1,0
64,2005,9,"United Kingdom","UK",60,27,12,7,3,0
65,2005,10,"Greece","EL",106,68,26,8,0,0
66,2005,11,"Portugal","PT",89,64,14,2,1,1
67,2005,12,"Spain","ES",79,37,10,5,2,0
68,2005,13,"Austria","AT",59,23,7,2,0,0
69,2005,14,"Finland","FI",62,19,7,2,1,0
70,2005,15,"Sweden","SE",50,18,2,3,0,0
71,2005,16,"Cyprus","CY",83,14,0,0,0,0
72,2005,17,"Czech Republic","CZ",72,40,4,0,0,0
73,2005,18,"Estonia","EE",59,18,2,0,0,0
74,2005,19,"Hungary","HU",52,10,0,0,0,0
75,2005,20,"Latvia","LV",58,18,1,0,0,0
76,2005,21,"Lithuania","LT",27,1,0,0,0,0
77,2005,22,"Malta","MT",54,19,4,0,0,0
78,2005,23,"Poland","PL",58,18,2,0,0,0
79,2005,24,"Slovakia","SK",51,22,3,0,0,0
80,2005,25,"Slovenia","SI",57,17,0,0,0,0
81,2006,1,"Belgium","BE",68,37,14,5,0,0
82,2006,2,"France","FR",89,42,19,5,3,2
83,2006,3,"Germany","DE",58,33,17,2,1,0
84,2006,4,"Italy","IT",136,68,29,2,3,0
85,2006,5,"Luxembourg","LU",68,39,16,11,4,2
86,2006,6,"Netherlands","NL",50,16,7,0,1,0
87,2006,7,"Denmark","DK",39,9,0,0,0,0
88,2006,8,"Ireland","IE",50,19,12,2,0,0
89,2006,9,"United Kingdom","UK",68,27,6,4,1,0
90,2006,10,"Greece","EL",97,64,24,7,4,2
91,2006,11,"Portugal","PT",90,56,24,2,1,0
92,2006,12,"Spain","ES",77,47,25,10,4,0
93,2006,13,"Austria","AT",60,26,8,3,0,0
94,2006,14,"Finland","FI",52,25,7,4,0,0
95,2006,15,"Sweden","SE",51,21,7,0,0,0
96,2006,16,"Cyprus","CY",54,20,1,0,0,0
97,2006,17,"Czech Republic","CZ",65,21,7,0,0,0
98,2006,18,"Estonia","EE",48,12,2,0,0,0
99,2006,19,"Hungary","HU",56,19,2,0,0,0
100,2006,20,"Latvia","LV",51,13,1,0,0,0
101,2006,21,"Lithuania","LT",34,10,1,0,0,0
102,2006,22,"Malta","MT",78,18,7,0,0,0
103,2006,23,"Poland","PL",76,21,6,0,0,0
104,2006,24,"Slovakia","SK",39,17,5,0,0,0
105,2006,25,"Slovenia","SI",48,14,2,0,0,0
106,2007,1,"Belgium","BE",52,12,7,4,2,0
107,2007,2,"France","FR",80,19,10,1,1,0
108,2007,3,"Germany","DE",60,18,11,1,0,0
109,2007,4,"Italy","IT",107,34,17,6,0,0
110,2007,5,"Luxembourg","LU",53,24,12,7,5,0
111,2007,6,"Netherlands","NL",46,11,4,0,0,0
112,2007,7,"Denmark","DK",34,5,1,0,0,0
113,2007,8,"Ireland","IE",48,14,4,2,1,0
114,2007,9,"United Kingdom","UK",74,17,4,4,0,0
115,2007,10,"Greece","EL",74,28,20,3,1,2
116,2007,11,"Portugal","PT",85,33,14,4,1,1
117,2007,12,"Spain","ES",68,27,16,5,3,0
118,2007,13,"Austria","AT",59,20,8,7,1,0
119,2007,14,"Finland","FI",64,9,5,1,1,1
120,2007,15,"Sweden","SE",62,15,6,1,0,0
121,2007,16,"Cyprus","CY",53,10,1,0,0,0
122,2007,17,"Czech Republic","CZ",62,17,4,0,0,0
123,2007,18,"Estonia","EE",48,12,2,0,0,0
124,2007,19,"Hungary","HU",60,9,0,0,0,0
125,2007,20,"Latvia","LV",51,7,1,0,0,0
126,2007,21,"Lithuania","LT",35,5,2,0,0,0
127,2007,22,"Malta","MT",71,25,4,0,0,0
128,2007,23,"Poland","PL",69,24,8,0,0,0
129,2007,24,"Slovakia","SK",46,6,3,0,0,0
130,2007,25,"Slovenia","SI",57,6,2,0,0,0
131,2007,26,"Bulgaria","BG",81,2,0,0,0,0
132,2007,27,"Romania","RO",196,5,0,0,0,0
133,2008,1,"Belgium","BE",81,34,18,4,2,0
134,2008,2,"France","FR",64,21,13,3,1,0
135,2008,3,"Germany","DE",57,23,7,2,1,0
136,2008,4,"Italy","IT",79,33,19,7,2,0
137,2008,5,"Luxembourg","LU",45,25,15,8,0,0
138,2008,6,"Netherlands","NL",36,17,8,0,0,0
139,2008,7,"Denmark","DK",40,5,0,0,0,0
140,2008,8,"Ireland","IE",50,18,10,3,0,0
141,2008,9,"United Kingdom","UK",64,23,14,0,1,0
142,2008,10,"Greece","EL",77,37,22,5,2,0
143,2008,11,"Portugal","PT",69,33,19,1,3,0
144,2008,12,"Spain","ES",70,38,22,7,1,0
145,2008,13,"Austria","AT",51,18,8,3,0,0
146,2008,14,"Finland","FI",53,16,3,0,1,0
147,2008,15,"Sweden","SE",42,14,7,0,0,0
148,2008,16,"Cyprus","CY",58,12,4,0,0,0
149,2008,17,"Czech Republic","CZ",64,30,6,1,0,0
150,2008,18,"Estonia","EE",32,21,4,0,0,0
151,2008,19,"Hungary","HU",55,14,3,0,0,0
152,2008,20,"Latvia","LV",34,11,2,0,0,0
153,2008,21,"Lithuania","LT",30,9,1,0,0,0
154,2008,22,"Malta","MT",40,18,6,0,0,0
155,2008,23,"Poland","PL",64,33,14,0,0,0
156,2008,24,"Slovakia","SK",42,6,0,0,0,0
157,2008,25,"Slovenia","SI",37,12,1,0,0,0
158,2008,26,"Bulgaria","BG",38,6,1,0,0,0
159,2008,27,"Romania","RO",38,9,1,0,0,0
160,2009,1,"Belgium","BE",52,23,14,3,1,0
161,2009,2,"France","FR",50,24,9,3,1,0
162,2009,3,"Germany","DE",48,18,5,0,0,0
163,2009,4,"Italy","IT",85,31,9,7,6,1
164,2009,5,"Luxembourg","LU",44,16,8,5,4,0
165,2009,6,"Netherlands","NL",30,12,5,0,0,0
166,2009,7,"Denmark","DK",26,14,2,0,0,0
167,2009,8,"Ireland","IE",46,12,7,6,3,1
168,2009,9,"United Kingdom","UK",54,26,8,1,0,0
169,2009,10,"Greece","EL",72,35,17,10,4,2
170,2009,11,"Portugal","PT",55,31,19,4,1,0
171,2009,12,"Spain","ES",58,20,14,9,6,0
172,2009,13,"Austria","AT",44,12,7,3,0,0
173,2009,14,"Finland","FI",33,14,1,1,1,0
174,2009,15,"Sweden","SE",31,12,1,0,0,0
175,2009,16,"Cyprus","CY",36,13,1,0,0,0
176,2009,17,"Czech Republic","CZ",45,16,5,0,0,0
177,2009,18,"Estonia","EE",27,11,7,0,0,0
178,2009,19,"Hungary","HU",47,9,1,0,0,0
179,2009,20,"Latvia","LV",28,12,1,0,0,0
180,2009,21,"Lithuania","LT",26,7,0,1,0,0
181,2009,22,"Malta","MT",31,7,3,0,0,0
182,2009,23,"Poland","PL",57,25,14,2,0,0
183,2009,24,"Slovakia","SK",33,14,1,0,0,0
184,2009,25,"Slovenia","SI",26,3,1,0,0,0
185,2009,26,"Bulgaria","BG",37,5,1,0,0,0
186,2009,27,"Romania","RO",30,6,1,0,0,0
187,2010,1,"Belgium","BE",54,29,11,2,0,1
188,2010,2,"France","FR",44,22,12,3,0,0
189,2010,3,"Germany","DE",32,19,8,2,0,0
190,2010,4,"Italy","IT",79,25,7,5,0,2
191,2010,5,"Luxembourg","LU",44,19,8,5,0,1
192,2010,6,"Netherlands","NL",28,19,7,0,0,0
193,2010,7,"Denmark","DK",19,7,2,0,0,0
194,2010,8,"Ireland","IE",37,12,5,9,0,0
195,2010,9,"United Kingdom","UK",56,20,2,0,0,0
196,2010,10,"Greece","EL",88,31,15,14,0,1
197,2010,11,"Portugal","PT",56,25,12,2,0,0
198,2010,12,"Spain","ES",67,27,9,5,0,2
199,2010,13,"Austria","AT",40,22,11,3,0,0
200,2010,14,"Finland","FI",56,11,4,0,0,0
201,2010,15,"Sweden","SE",28,17,5,1,0,0
202,2010,16,"Cyprus","CY",55,16,4,0,0,0
203,2010,17,"Czech Republic","CZ",48,22,6,2,0,0
204,2010,18,"Estonia","EE",26,10,7,0,0,0
205,2010,19,"Hungary","HU",67,16,4,0,0,0
206,2010,20,"Latvia","LV",29,5,0,0,0,0
207,2010,21,"Lithuania","LT",18,3,1,0,0,0
208,2010,22,"Malta","MT",25,7,1,2,0,0
209,2010,23,"Poland","PL",53,30,13,0,0,0
210,2010,24,"Slovakia","SK",26,10,2,0,0,0
211,2010,25,"Slovenia","SI",39,13,2,0,0,0
212,2010,26,"Bulgaria","BG",41,10,0,0,0,0
213,2010,27,"Romania","RO",63,10,0,0,0,0
214,2011,1,"Belgium","BE",53,36,7,4,0,0
215,2011,2,"France","FR",58,19,9,2,0,0
216,2011,3,"Germany","DE",44,27,1,2,0,4
217,2011,4,"Italy","IT",104,30,7,7,0,1
218,2011,5,"Luxembourg","LU",54,14,1,1,0,1
219,2011,6,"Netherlands","NL",41,16,4,1,0,0
220,2011,7,"Denmark","DK",34,4,1,0,0,0
221,2011,8,"Ireland","IE",35,11,2,0,0,2
222,2011,9,"United Kingdom","UK",68,19,1,0,0,0
223,2011,10,"Greece","EL",86,32,5,4,0,1
224,2011,11,"Portugal","PT",63,16,2,3,0,0
225,2011,12,"Spain","ES",64,20,10,5,0,0
226,2011,13,"Austria","AT",56,20,1,1,0,1
227,2011,14,"Finland","FI",66,14,1,0,0,0
228,2011,15,"Sweden","SE",42,13,1,0,0,1
229,2011,16,"Cyprus","CY",74,17,2,0,0,0
230,2011,17,"Czech Republic","CZ",62,18,2,1,0,1
231,2011,18,"Estonia","EE",33,13,0,0,0,0
232,2011,19,"Hungary","HU",78,14,0,0,0,0
233,2011,20,"Latvia","LV",31,3,0,0,0,0
234,2011,21,"Lithuania","LT",42,8,1,0,0,0
235,2011,22,"Malta","MT",52,5,1,1,0,0
236,2011,23,"Poland","PL",62,33,6,1,0,3
237,2011,24,"Slovakia","SK",40,10,1,0,0,0
238,2011,25,"Slovenia","SI",52,16,1,0,0,0
239,2011,26,"Bulgaria","BG",44,8,1,0,0,0
240,2011,27,"Romania","RO",55,12,1,0,0,0
241,2012,1,"Belgium","BE",30,25,3,4,0,4
242,2012,2,"France","FR",27,14,4,1,0,0
243,2012,3,"Germany","DE",23,11,6,0,0,1
244,2012,4,"Italy","IT",63,23,3,4,0,1
245,2012,5,"Luxembourg","LU",22,16,0,0,0,1
246,2012,6,"Netherlands","NL",14,10,0,1,0,4
247,2012,7,"Denmark","DK",24,6,0,0,0,0
248,2012,8,"Ireland","IE",14,4,1,2,0,1
249,2012,9,"United Kingdom","UK",35,13,6,0,0,0
250,2012,10,"Greece","EL",36,23,2,1,0,0
251,2012,11,"Portugal","PT",47,20,3,2,0,2
252,2012,12,"Spain","ES",34,13,1,0,0,0
253,2012,13,"Austria","AT",32,15,0,0,0,0
254,2012,14,"Finland","FI",28,9,2,0,0,4
255,2012,15,"Sweden","SE",9,9,1,1,0,0
256,2012,16,"Cyprus","CY",31,18,1,0,0,4
257,2012,17,"Czech Republic","CZ",20,6,0,0,0,0
258,2012,18,"Estonia","EE",11,5,0,0,0,0
259,2012,19,"Hungary","HU",39,12,3,0,0,1
260,2012,20,"Latvia","LV",20,3,0,0,0,0
261,2012,21,"Lithuania","LT",12,6,0,0,0,0
262,2012,22,"Malta","MT",23,6,0,0,0,0
263,2012,23,"Poland","PL",33,27,2,2,0,10
264,2012,24,"Slovakia","SK",18,8,0,0,0,1
265,2012,25,"Slovenia","SI",30,11,0,1,0,5
266,2012,26,"Bulgaria","BG",27,14,1,0,0,1
267,2012,27,"Romania","RO",30,12,0,0,0,0
268,2013,1,"Belgium","BE",42,14,9,2,0,2
269,2013,2,"France","FR",48,8,2,0,0,0
270,2013,3,"Germany","DE",35,6,2,0,0,0
271,2013,4,"Italy","IT",62,20,2,1,0,2
272,2013,5,"Luxembourg","LU",28,5,1,0,0,0
273,2013,6,"Netherlands","NL",16,6,3,0,0,0
274,2013,7,"Denmark","DK",21,4,0,0,0,0
275,2013,8,"Ireland","IE",16,4,1,0,0,0
276,2013,9,"United Kingdom","UK",29,8,2,0,0,2
277,2013,10,"Greece","EL",44,13,4,1,0,2
278,2013,11,"Portugal","PT",35,14,2,2,0,2
279,2013,12,"Spain","ES",45,13,3,3,0,0
280,2013,13,"Austria","AT",33,11,1,0,0,1
281,2013,14,"Finland","FI",23,9,2,0,0,0
282,2013,15,"Sweden","SE",13,8,2,1,0,1
283,2013,16,"Cyprus","CY",34,14,1,0,0,1
284,2013,17,"Czech Republic","CZ",25,4,0,0,0,0
285,2013,18,"Estonia","EE",16,6,1,0,0,2
286,2013,19,"Hungary","HU",32,6,2,0,0,0
287,2013,20,"Latvia","LV",22,3,0,0,0,0
288,2013,21,"Lithuania","LT",19,6,0,0,0,0
289,2013,22,"Malta","MT",18,1,1,0,0,0
290,2013,23,"Poland","PL",29,13,9,1,0,1
291,2013,24,"Slovakia","SK",27,2,2,1,0,0
292,2013,25,"Slovenia","SI",32,12,1,0,0,0
293,2013,26,"Bulgaria","BG",23,3,3,0,0,2
294,2013,27,"Romania","RO",34,15,0,0,0,2
295,2013,28,"Croatia","HR",4,0,0,0,0,0
296,2014,1,"Belgium","BE",55,12,2,0,0,1
297,2014,2,"France","FR",42,12,3,0,0,0
298,2014,3,"Germany","DE",50,12,2,0,0,0
299,2014,4,"Italy","IT",46,20,3,2,0,1
300,2014,5,"Luxembourg","LU",31,10,3,0,0,0
301,2014,6,"Netherlands","NL",15,6,1,0,0,1
302,2014,7,"Denmark","DK",28,3,2,0,0,0
303,2014,8,"Ireland","IE",23,7,1,0,0,2
304,2014,9,"United Kingdom","UK",32,10,2,0,0,0
305,2014,10,"Greece","EL",57,14,3,3,0,1
306,2014,11,"Portugal","PT",35,13,4,2,0,1
307,2014,12,"Spain","ES",43,14,6,2,0,0
308,2014,13,"Austria","AT",38,8,4,0,0,1
309,2014,14,"Finland","FI",23,8,1,0,0,1
310,2014,15,"Sweden","SE",16,4,2,0,0,0
311,2014,16,"Cyprus","CY",42,11,1,0,0,0
312,2014,17,"Czech Republic","CZ",31,7,1,0,0,0
313,2014,18,"Estonia","EE",15,4,1,0,0,0
314,2014,19,"Hungary","HU",38,10,0,0,0,0
315,2014,20,"Latvia","LV",17,6,1,0,0,0
316,2014,21,"Lithuania","LT",22,4,0,0,0,0
317,2014,22,"Malta","MT",16,0,0,0,0,0
318,2014,23,"Poland","PL",38,14,2,0,0,1
319,2014,24,"Slovakia","SK",24,3,0,0,0,0
320,2014,25,"Slovenia","SI",37,14,1,1,0,0
321,2014,26,"Bulgaria","BG",52,12,1,0,0,0
322,2014,27,"Romania","RO",53,17,1,0,0,0
323,2014,28,"Croatia","HR",17,0,0,0,0,0
324,2015,1,"Belgium","BE",36,11,3,0,0,1
325,2015,2,"France","FR",35,13,1,0,0,0
326,2015,3,"Germany","DE",42,12,8,0,0,1
327,2015,4,"Italy","IT",33,13,2,2,0,1
328,2015,5,"Luxembourg","LU",24,13,2,0,0,2
329,2015,6,"Netherlands","NL",18,6,0,0,0,1
330,2015,7,"Denmark","DK",21,4,1,0,0,0
331,2015,8,"Ireland","IE",19,6,1,0,0,0
332,2015,9,"United Kingdom","UK",23,6,2,0,0,0
333,2015,10,"Greece","EL",45,16,6,0,0,2
334,2015,11,"Portugal","PT",32,6,3,2,0,0
335,2015,12,"Spain","ES",41,19,1,3,0,0
336,2015,13,"Austria","AT",21,8,3,0,0,0
337,2015,14,"Finland","FI",23,8,1,0,0,0
338,2015,15,"Sweden","SE",30,7,0,0,0,1
339,2015,16,"Cyprus","CY",49,9,0,0,0,0
340,2015,17,"Czech Republic","CZ",22,10,3,0,0,1
341,2015,18,"Estonia","EE",16,9,2,0,0,0
342,2015,19,"Hungary","HU",27,7,1,1,0,1
343,2015,20,"Latvia","LV",19,2,0,0,0,0
344,2015,21,"Lithuania","LT",21,5,1,0,0,0
345,2015,22,"Malta","MT",24,5,1,0,0,0
346,2015,23,"Poland","PL",28,21,4,0,0,2
347,2015,24,"Slovakia","SK",25,4,0,0,0,0
348,2015,25,"Slovenia","SI",32,9,2,0,0,2
349,2015,26,"Bulgaria","BG",25,10,1,0,0,0
350,2015,27,"Romania","RO",33,9,3,0,0,2
351,2015,28,"Croatia","HR",18,1,0,0,0,0
352,2016,1,"Belgium","BE",49,16,0,2,0,0
353,2016,2,"France","FR",39,10,2,0,0,0
354,2016,3,"Germany","DE",30,14,5,0,0,0
355,2016,4,"Italy","IT",23,5,1,0,0,1
356,2016,5,"Luxembourg","LU",43,14,0,0,0,2
357,2016,6,"Netherlands","NL",24,7,3,0,0,0
358,2016,7,"Denmark","DK",31,5,1,0,0,0
359,2016,8,"Ireland","IE",40,10,0,0,0,0
360,2016,9,"United Kingdom","UK",28,7,2,0,0,0
361,2016,10,"Greece","EL",43,13,0,2,0,2
362,2016,11,"Portugal","PT",60,21,0,2,0,1
363,2016,12,"Spain","ES",47,17,1,2,0,2
364,2016,13,"Austria","AT",47,13,1,0,0,0
365,2016,14,"Finland","FI",40,16,1,0,0,0
366,2016,15,"Sweden","SE",26,7,0,0,0,0
367,2016,16,"Cyprus","CY",45,15,1,0,0,0
368,2016,17,"Czech Republic","CZ",43,2,3,0,0,0
369,2016,18,"Estonia","EE",20,7,0,0,0,0
370,2016,19,"Hungary","HU",45,6,2,0,0,0
371,2016,20,"Latvia","LV",23,11,0,0,0,0
372,2016,21,"Lithuania","LT",31,9,0,0,0,0
373,2016,22,"Malta","MT",20,1,0,0,0,0
374,2016,23,"Poland","PL",43,12,4,0,0,1
375,2016,24,"Slovakia","SK",20,8,0,0,0,1
376,2016,25,"Slovenia","SI",39,13,1,0,0,0
377,2016,26,"Bulgaria","BG",34,10,2,0,0,0
378,2016,27,"Romania","RO",36,9,0,0,0,1
379,2016,28,"Croatia","HR",33,16,1,0,0,0
380,2017,1,"Belgium","BE",29,17,1,0,0,3
381,2017,2,"France","FR",23,6,0,0,0,1
382,2017,3,"Germany","DE",26,7,0,0,0,1
383,2017,4,"Italy","IT",13,15,4,0,0,0
384,2017,5,"Luxembourg","LU",25,6,0,1,0,5
385,2017,6,"Netherlands","NL",14,7,1,0,0,0
386,2017,7,"Denmark","DK",19,3,0,0,0,0
387,2017,8,"Ireland","IE",29,12,1,0,0,1
388,2017,9,"United Kingdom","UK",32,7,0,0,0,0
389,2017,10,"Greece","EL",34,11,2,3,0,1
390,2017,11,"Portugal","PT",46,19,3,2,0,1
391,2017,12,"Spain","ES",30,15,1,0,0,5
392,2017,13,"Austria","AT",28,9,2,0,0,3
393,2017,14,"Finland","FI",25,9,0,0,0,1
394,2017,15,"Sweden","SE",20,4,1,0,0,0
395,2017,16,"Cyprus","CY",41,21,0,1,0,1
396,2017,17,"Czech Republic","CZ",32,13,1,0,0,1
397,2017,18,"Estonia","EE",17,5,0,0,0,0
398,2017,19,"Hungary","HU",26,13,3,1,0,0
399,2017,20,"Latvia","LV",22,7,0,0,0,0
400,2017,21,"Lithuania","LT",14,2,0,0,0,0
401,2017,22,"Malta","MT",20,7,0,0,0,0
402,2017,23,"Poland","PL",27,16,3,2,0,0
403,2017,24,"Slovakia","SK",21,2,0,0,0,1
404,2017,25,"Slovenia","SI",29,6,2,0,0,3
405,2017,26,"Bulgaria","BG",30,7,0,0,0,2
406,2017,27,"Romania","RO",30,17,2,1,0,1
407,2017,28,"Croatia","HR",33,13,2,0,0,4
408,2018,1,"Belgium","BE",33,3,0,1,0,1
409,2018,2,"France","FR",20,2,1,0,0,0
410,2018,3,"Germany","DE",21,5,2,0,0,0
411,2018,4,"Italy","IT",27,5,4,1,0,0
412,2018,5,"Luxembourg","LU",33,6,0,0,0,1
413,2018,6,"Netherlands","NL",20,2,0,0,0,1
414,2018,7,"Denmark","DK",17,2,0,0,0,0
415,2018,8,"Ireland","IE",21,11,1,0,0,2
416,2018,9,"United Kingdom","UK",31,5,2,0,0,0
417,2018,10,"Greece","EL",26,10,0,0,0,1
418,2018,11,"Portugal","PT",17,9,2,0,0,1
419,2018,12,"Spain","ES",27,19,3,1,0,3
420,2018,13,"Austria","AT",27,4,2,0,0,0
421,2018,14,"Finland","FI",14,3,1,0,0,0
422,2018,15,"Sweden","SE",22,3,0,0,0,0
423,2018,16,"Cyprus","CY",38,7,0,0,0,0
424,2018,17,"Czech Republic","CZ",28,4,0,0,0,0
425,2018,18,"Estonia","EE",11,2,0,0,0,0
426,2018,19,"Hungary","HU",22,2,3,0,0,0
427,2018,20,"Latvia","LV",20,5,0,0,0,0
428,2018,21,"Lithuania","LT",18,4,0,0,0,0
429,2018,22,"Malta","MT",22,1,1,0,0,0
430,2018,23,"Poland","PL",30,6,1,0,0,1
431,2018,24,"Slovakia","SK",18,5,1,0,0,0
432,2018,25,"Slovenia","SI",22,8,1,1,0,2
433,2018,26,"Bulgaria","BG",29,9,1,1,0,1
434,2018,27,"Romania","RO",31,11,3,0,0,1
435,2018,28,"Croatia","HR",14,4,3,0,0,0
436,2019,1,"Belgium","BE",35,14,1,0,0,2
437,2019,2,"France","FR",33,10,0,0,0,0
438,2019,3,"Germany","DE",28,16,2,2,0,0
439,2019,4,"Italy","IT",32,11,5,0,0,0
440,2019,5,"Luxembourg","LU",19,9,0,0,0,0
441,2019,6,"Netherlands","NL",17,10,0,0,0,0
442,2019,7,"Denmark","DK",21,6,1,0,0,0
443,2019,8,"Ireland","IE",39,19,0,0,0,1
444,2019,9,"United Kingdom","UK",32,6,1,1,0,0
445,2019,10,"Greece","EL",39,16,1,1,0,3
446,2019,11,"Portugal","PT",35,14,0,0,0,0
447,2019,12,"Spain","ES",32,18,6,0,0,1
448,2019,13,"Austria","AT",29,11,3,0,0,0
449,2019,14,"Finland","FI",17,7,0,0,0,0
450,2019,15,"Sweden","SE",25,8,1,0,0,0
451,2019,16,"Cyprus","CY",45,21,1,0,0,0
452,2019,17,"Czech Republic","CZ",33,10,1,0,0,0
453,2019,18,"Estonia","EE",26,3,0,0,0,0
454,2019,19,"Hungary","HU",34,13,4,1,0,0
455,2019,20,"Latvia","LV",23,8,0,0,0,0
456,2019,21,"Lithuania","LT",13,8,0,0,0,0
457,2019,22,"Malta","MT",29,4,0,0,0,0
458,2019,23,"Poland","PL",38,19,2,2,0,0
459,2019,24,"Slovakia","SK",20,12,0,0,0,0
460,2019,25,"Slovenia","SI",26,14,2,0,0,0
461,2019,26,"Bulgaria","BG",40,14,1,0,0,0
462,2019,27,"Romania","RO",41,12,0,0,0,0
463,2019,28,"Croatia","HR",27,4,0,0,0,0
464,2020,1,"Belgium","BE",7,0,0,0,0,0
465,2020,2,"France","FR",5,0,0,0,0,0
466,2020,3,"Germany","DE",8,1,0,0,0,0
467,2020,4,"Italy","IT",7,0,1,0,0,0
468,2020,5,"Luxembourg","LU",4,1,0,0,0,0
469,2020,6,"Netherlands","NL",3,0,0,0,0,0
470,2020,7,"Denmark","DK",3,0,0,0,0,0
471,2020,8,"Ireland","IE",3,0,0,0,0,0
472,2020,9,"United Kingdom","UK",8,1,0,0,0,0
473,2020,10,"Greece","EL",8,2,0,0,0,0
474,2020,11,"Portugal","PT",10,2,1,0,0,0
475,2020,12,"Spain","ES",9,1,0,0,0,0
476,2020,13,"Austria","AT",0,0,0,0,0,0
477,2020,14,"Finland","FI",0,0,0,0,0,0
478,2020,15,"Sweden","SE",2,1,0,0,0,0
479,2020,16,"Cyprus","CY",10,0,0,0,0,0
480,2020,17,"Czech Republic","CZ",4,0,0,0,0,0
481,2020,18,"Estonia","EE",3,0,0,0,0,0
482,2020,19,"Hungary","HU",3,0,0,0,0,0
483,2020,20,"Latvia","LV",5,0,0,0,0,0
484,2020,21,"Lithuania","LT",1,0,0,0,0,0
485,2020,22,"Malta","MT",4,0,0,0,0,0
486,2020,23,"Poland","PL",12,0,0,0,0,0
487,2020,24,"Slovakia","SK",3,0,0,0,0,0
488,2020,25,"Slovenia","SI",6,0,0,0,0,0
489,2020,26,"Bulgaria","BG",3,0,0,0,0,0
490,2020,27,"Romania","RO",11,2,0,0,0,0
491,2020,28,"Croatia","HR",5,0,0,0,0,0
